,urcv,rcv,url2,rl2,t90,t70,t50,tcv
101,0.0011909109621965318,0.0011909109621965318,0.030469666428189667,0.030469666428189667,3.5615274906158447,3.1551547050476074,2.8443715572357178,10.668625593185425
102,0.0011945014967703975,0.0011945014967703975,0.030499922856683626,0.030499922856683626,3.5665836334228516,3.246211051940918,2.9569976329803467,10.722188711166382
103,0.0011901198661341474,0.0011901198661341474,0.030521981705908568,0.030521981705908568,3.583540439605713,3.24072265625,2.9429807662963867,10.503871202468872
104,0.0011875286363783473,0.0011875286363783473,0.030489150750083627,0.030489150750083627,3.6611592769622803,3.3458008766174316,2.9355335235595703,10.138633966445923
105,0.0011932080745286832,0.0011932080745286832,0.03053324033523227,0.03053324033523227,3.7772068977355957,3.4784984588623047,3.057622194290161,10.165294885635376
106,0.0011966216336687047,0.0011966216336687047,0.030640466380402298,0.030640466380402298,3.901818037033081,3.4699625968933105,3.055124044418335,10.863714694976807
107,0.001195165972454106,0.001195165972454106,0.030589423865700918,0.030589423865700918,3.9063563346862793,3.350849151611328,3.03456974029541,11.252156257629395
108,0.0011986835617941944,0.0011986835617941944,0.030729109535652548,0.030729109535652548,3.765216112136841,3.455400228500366,3.04858660697937,10.745985984802246
109,0.0011969238997944936,0.0011969238997944936,0.03074721143745862,0.03074721143745862,3.8787841796875,3.464979648590088,3.042567253112793,10.735165357589722
110,0.0011960380410490936,0.0011960380410490936,0.03073796047904055,0.03073796047904055,3.974907875061035,3.4489011764526367,3.1501810550689697,10.784695386886597
111,0.0011986938183999657,0.0011986938183999657,0.030766040252656474,0.030766040252656474,3.8723342418670654,3.5484869480133057,3.1416687965393066,11.174445390701294
112,0.0011963006750699836,0.0011963006750699836,0.030710138610995634,0.030710138610995634,3.8718698024749756,3.5565474033355713,3.248292922973633,12.641680479049683
113,0.0012021261244019098,0.0012021261244019098,0.030774864308980757,0.030774864308980757,4.117023229598999,3.586601495742798,3.239736318588257,11.157377481460571
114,0.0011986407399153759,0.0011986407399153759,0.030786299482662843,0.030786299482662843,3.988345146179199,3.651606321334839,3.260718822479248,11.184043169021606
115,0.0012007206093104974,0.0012007206093104974,0.030691727400009118,0.030691727400009118,4.107499122619629,3.6846537590026855,3.359912872314453,11.1209557056427
116,0.0012000223694573313,0.0012000223694573313,0.030673578257123624,0.030673578257123624,4.086977958679199,3.7856945991516113,3.2692782878875732,11.674954891204834
117,0.0012048699775939326,0.0012048699775939326,0.030744224447467383,0.030744224447467383,4.203577280044556,3.766749858856201,3.2657294273376465,12.008649587631226
118,0.0012041417311113938,0.0012041417311113938,0.030705565322220938,0.030705565322220938,4.1815104484558105,3.5880136489868164,3.356873035430908,11.578840970993042
119,0.0012075277455265597,0.0012075277455265597,0.030755208965268132,0.030755208965268132,4.4367835521698,3.6881346702575684,3.348336696624756,11.647927284240723
120,0.0012087939894790023,0.0012087939894790023,0.03081861947691849,0.03081861947691849,4.282126426696777,3.7816991806030273,3.3557982444763184,11.867038488388062
121,0.0012117942563317483,0.0012117942563317483,0.03075157341709686,0.03075157341709686,4.179041147232056,3.7546956539154053,3.3728671073913574,12.160321950912476
122,0.0012092361808475499,0.0012092361808475499,0.03079083606415594,0.03079083606415594,4.319161653518677,3.7676708698272705,3.482407569885254,12.539089918136597
123,0.0012102207768694036,0.0012102207768694036,0.030927788339009207,0.030927788339009207,4.406275749206543,3.7826955318450928,3.376899480819702,13.207284927368164
124,0.0012121612434192381,0.0012121612434192381,0.03082852162980527,0.03082852162980527,4.2972023487091064,3.7797534465789795,3.3573551177978516,12.343000888824463
125,0.001216654902764859,0.001216654902764859,0.030773915398646757,0.030773915398646757,4.293144702911377,3.877350330352783,3.483485221862793,11.864141941070557
126,0.0012194670848540673,0.0012194670848540673,0.030838123973626428,0.030838123973626428,4.185049772262573,3.9993786811828613,3.4669604301452637,12.488590240478516
127,0.0012188315157924449,0.0012188315157924449,0.030852582458012187,0.030852582458012187,4.300658226013184,3.7865607738494873,3.4574356079101562,12.188353776931763
128,0.0012170696407258195,0.0012170696407258195,0.03078355665311422,0.03078355665311422,4.399819850921631,3.904332160949707,3.4729154109954834,12.665714740753174
129,0.0012155057610574416,0.0012155057610574416,0.030689407208230372,0.030689407208230372,4.275675535202026,3.8812508583068848,3.456414222717285,12.259830951690674
130,0.0012180159396357887,0.0012180159396357887,0.03077583921681316,0.03077583921681316,4.393752336502075,3.8947672843933105,3.466940402984619,12.53670072555542
131,0.0012208858002587838,0.0012208858002587838,0.03073129025739664,0.03073129025739664,4.207537651062012,3.878296375274658,3.475954294204712,13.784378290176392
132,0.0012179777107213133,0.0012179777107213133,0.030885882214334033,0.030885882214334033,4.416291236877441,3.8737454414367676,3.492992401123047,12.327950239181519
133,0.0012210161104966447,0.0012210161104966447,0.030833532349749528,0.030833532349749528,4.588386297225952,3.997915267944336,3.5499885082244873,12.393474817276001
134,0.0012242536071957522,0.0012242536071957522,0.03093397421198069,0.03093397421198069,4.497313499450684,3.982362747192383,3.485441207885742,13.12219762802124
135,0.0012237680559619248,0.0012237680559619248,0.030837886935339075,0.030837886935339075,4.506280422210693,3.975414276123047,3.566541910171509,12.366000890731812
136,0.0012243928005809435,0.0012243928005809435,0.030780434101743442,0.030780434101743442,4.47826623916626,4.068469047546387,3.582545757293701,14.259120225906372
137,0.0012263352651759028,0.0012263352651759028,0.030820333902227746,0.030820333902227746,4.528776407241821,3.9729156494140625,3.586629629135132,14.067082166671753
138,0.0012285151918513867,0.0012285151918513867,0.030751253112343994,0.030751253112343994,4.5938897132873535,3.9888386726379395,3.566009283065796,13.042930364608765
139,0.0012284371656808536,0.0012284371656808536,0.030841710865019963,0.030841710865019963,4.547881126403809,4.1845550537109375,3.6616365909576416,12.938035011291504
140,0.0012261886536139152,0.0012261886536139152,0.030871710055847688,0.030871710055847688,4.6420416831970215,4.1735076904296875,3.691077709197998,13.91370439529419
141,0.0012297707249943964,0.0012297707249943964,0.030911295331849806,0.030911295331849806,4.7305121421813965,4.087021827697754,3.559990167617798,13.72515082359314
142,0.0012316643241489559,0.0012316643241489559,0.030979370098177417,0.030979370098177417,4.805023670196533,4.338150978088379,3.8932955265045166,13.199198484420776
143,0.0012322597772041165,0.0012322597772041165,0.030896242309193692,0.030896242309193692,4.709968090057373,4.198599100112915,3.778272867202759,13.664463758468628
